indice,codigo,severidad,hoja_rem,hoja_sistema,seccion,validacion,celda,valor,tipo,estado
"2","VAL-001","REVISAR","REM01","A01","A",">0","F11","","","CELDA_VACIA"
"3","VAL-001","REVISAR","REM01","A01","A",">0","F12","","","CELDA_VACIA"
"4","VAL-002","REVISAR","REM01","A01","A",">0","M11","","","CELDA_VACIA"
"5","VAL-002","REVISAR","REM01","A01","A",">0","M12","","","CELDA_VACIA"
"6","VAL-002","REVISAR","REM01","A01","A",">0","N11","","","CELDA_VACIA"
"7","VAL-002","REVISAR","REM01","A01","A",">0","N12","","","CELDA_VACIA"
"8","VAL-003","REVISAR","REM01","A01","A",">0","N13","","","CELDA_VACIA"
"9","VAL-003","REVISAR","REM01","A01","A",">0","N14","","","CELDA_VACIA"
"10","VAL-004","REVISAR","REM01","A01","A",">0","N15","","","CELDA_VACIA"
"11","VAL-004","REVISAR","REM01","A01","A",">0","N16","","","CELDA_VACIA"
"12","VAL-005","REVISAR","REM01","A01","A",">0","O31","","","CELDA_VACIA"
"13","VAL-005","REVISAR","REM01","A01","A",">0","O32","1","n","OK"
"14","VAL-005","REVISAR","REM01","A01","A",">0","P31","","","CELDA_VACIA"
"15","VAL-005","REVISAR","REM01","A01","A",">0","P32","","","CELDA_VACIA"
"16","VAL-005","REVISAR","REM01","A01","A",">0","Q31","","","CELDA_VACIA"
"17","VAL-005","REVISAR","REM01","A01","A",">0","Q32","","","CELDA_VACIA"
"18","VAL-005","REVISAR","REM01","A01","A",">0","R31","","","CELDA_VACIA"
"19","VAL-005","REVISAR","REM01","A01","A",">0","R32","","","CELDA_VACIA"
"20","VAL-005","REVISAR","REM01","A01","A",">0","S31","","","CELDA_VACIA"
"21","VAL-005","REVISAR","REM01","A01","A",">0","S32","","","CELDA_VACIA"
"22","VAL-005","REVISAR","REM01","A01","A",">0","T31","","","CELDA_VACIA"
"23","VAL-005","REVISAR","REM01","A01","A",">0","T32","","","CELDA_VACIA"
"24","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C19","0","n","OK"
